strName,strDistrict,strState,chrStatus
689590,ALAPPUZHA,KERALA,N
689590,ALAPPUZHA,KERALA,N
688542,ALAPPUZHA,KERALA,N
690110,ALAPPUZHA,KERALA,N
690504,ALAPPUZHA,KERALA,N
689515,ALAPPUZHA,KERALA,N
690541,ALAPPUZHA,KERALA,N
690505,ALAPPUZHA,KERALA,N
690105,ALAPPUZHA,KERALA,N
690105,ALAPPUZHA,KERALA,N
690104,ALAPPUZHA,KERALA,N
690106,ALAPPUZHA,KERALA,N
690534,ALAPPUZHA,KERALA,N
690108,ALAPPUZHA,KERALA,N
690106,ALAPPUZHA,KERALA,N
690104,ALAPPUZHA,KERALA,N
690503,ALAPPUZHA,KERALA,N
690501,ALAPPUZHA,KERALA,N
690570,ALAPPUZHA,KERALA,N
690110,ALAPPUZHA,KERALA,N
690103,ALAPPUZHA,KERALA,N
690106,ALAPPUZHA,KERALA,N
690505,ALAPPUZHA,KERALA,N
690533,ALAPPUZHA,KERALA,N
690109,ALAPPUZHA,KERALA,N
690503,ALAPPUZHA,KERALA,N
690505,ALAPPUZHA,KERALA,N
689512,ALAPPUZHA,KERALA,N
690108,ALAPPUZHA,KERALA,N
690558,ALAPPUZHA,KERALA,N
690101,ALAPPUZHA,KERALA,N
690101,ALAPPUZHA,KERALA,N
690101,ALAPPUZHA,KERALA,N
689627,ALAPPUZHA,KERALA,N
690533,ALAPPUZHA,KERALA,N
690504,ALAPPUZHA,KERALA,N
690571,ALAPPUZHA,KERALA,N
690529,ALAPPUZHA,KERALA,N
690107,ALAPPUZHA,KERALA,N
690503,ALAPPUZHA,KERALA,N
690504,ALAPPUZHA,KERALA,N
690503,ALAPPUZHA,KERALA,N
690504,ALAPPUZHA,KERALA,N
690529,ALAPPUZHA,KERALA,N
690504,ALAPPUZHA,KERALA,N
690103,ALAPPUZHA,KERALA,N
690537,ALAPPUZHA,KERALA,N
690101,ALAPPUZHA,KERALA,N
690501,ALAPPUZHA,KERALA,N
690102,ALAPPUZHA,KERALA,N
690530,ALAPPUZHA,KERALA,N
690534,ALAPPUZHA,KERALA,N
690103,ALAPPUZHA,KERALA,N
690102,ALAPPUZHA,KERALA,N
690107,ALAPPUZHA,KERALA,N
690105,ALAPPUZHA,KERALA,N
690104,ALAPPUZHA,KERALA,N
690501,ALAPPUZHA,KERALA,N
690107,ALAPPUZHA,KERALA,N
690505,ALAPPUZHA,KERALA,N
690503,ALAPPUZHA,KERALA,N
690557,ALAPPUZHA,KERALA,N
690106,ALAPPUZHA,KERALA,N
683579,ERNAKULAM,KERALA,N
683101,ERNAKULAM,KERALA,N
683101,ERNAKULAM,KERALA,N
683101,ERNAKULAM,KERALA,N
683101,ERNAKULAM,KERALA,N
683581,ERNAKULAM,KERALA,N
683572,ERNAKULAM,KERALA,N
683573,ERNAKULAM,KERALA,N
683585,ERNAKULAM,KERALA,N
683581,ERNAKULAM,KERALA,N
683577,ERNAKULAM,KERALA,N
683571,ERNAKULAM,KERALA,N
683581,ERNAKULAM,KERALA,N
683102,ERNAKULAM,KERALA,N
683564,ERNAKULAM,KERALA,N
683561,ERNAKULAM,KERALA,N
683572,ERNAKULAM,KERALA,N
683112,ERNAKULAM,KERALA,N
683577,ERNAKULAM,KERALA,N
683583,ERNAKULAM,KERALA,N
683574,ERNAKULAM,KERALA,N
683575,ERNAKULAM,KERALA,N
683576,ERNAKULAM,KERALA,N
683572,ERNAKULAM,KERALA,N
683562,ERNAKULAM,KERALA,N
683111,ERNAKULAM,KERALA,N
683565,ERNAKULAM,KERALA,N
683579,ERNAKULAM,KERALA,N
683587,ERNAKULAM,KERALA,N
683561,ERNAKULAM,KERALA,N
683574,ERNAKULAM,KERALA,N
683581,ERNAKULAM,KERALA,N
683574,ERNAKULAM,KERALA,N
683589,ERNAKULAM,KERALA,N
683577,ERNAKULAM,KERALA,N
683574,ERNAKULAM,KERALA,N
683563,ERNAKULAM,KERALA,N
683572,ERNAKULAM,KERALA,N
683585,ERNAKULAM,KERALA,N
683584,ERNAKULAM,KERALA,N
683582,ERNAKULAM,KERALA,N
683579,ERNAKULAM,KERALA,N
683593,ERNAKULAM,KERALA,N
683562,ERNAKULAM,KERALA,N
683565,ERNAKULAM,KERALA,N
683565,ERNAKULAM,KERALA,N
683574,ERNAKULAM,KERALA,N
683572,ERNAKULAM,KERALA,N
683578,ERNAKULAM,KERALA,N
683105,ERNAKULAM,KERALA,N
683580,ERNAKULAM,KERALA,N
683577,ERNAKULAM,KERALA,N
683106,ERNAKULAM,KERALA,N
683108,ERNAKULAM,KERALA,N
683105,ERNAKULAM,KERALA,N
683586,ERNAKULAM,KERALA,N
683575,ERNAKULAM,KERALA,N
680667,ERNAKULAM,KERALA,N
683108,ERNAKULAM,KERALA,N
683102,ERNAKULAM,KERALA,N
682021,ERNAKULAM,KERALA,N
683572,ERNAKULAM,KERALA,N
683579,ERNAKULAM,KERALA,N
683580,ERNAKULAM,KERALA,N
683565,ERNAKULAM,KERALA,N
683561,ERNAKULAM,KERALA,N
683574,ERNAKULAM,KERALA,N
686632,KOTTAYAM,KERALA,N
686635,KOTTAYAM,KERALA,N
686612,KOTTAYAM,KERALA,N
686608,KOTTAYAM,KERALA,N
686617,KOTTAYAM,KERALA,N
686609,KOTTAYAM,KERALA,N
686605,KOTTAYAM,KERALA,N
686610,KOTTAYAM,KERALA,N
686613,KOTTAYAM,KERALA,N
686632,KOTTAYAM,KERALA,N
686616,KOTTAYAM,KERALA,N
686612,KOTTAYAM,KERALA,N
686634,KOTTAYAM,KERALA,N
686634,KOTTAYAM,KERALA,N
686146,KOTTAYAM,KERALA,N
686642,KOTTAYAM,KERALA,N
686635,KOTTAYAM,KERALA,N
686606,KOTTAYAM,KERALA,N
686611,KOTTAYAM,KERALA,N
686610,KOTTAYAM,KERALA,N
686636,KOTTAYAM,KERALA,N
686604,KOTTAYAM,KERALA,N
686641,KOTTAYAM,KERALA,N
686607,KOTTAYAM,KERALA,N
686605,KOTTAYAM,KERALA,N
686606,KOTTAYAM,KERALA,N
686612,KOTTAYAM,KERALA,N
686145,KOTTAYAM,KERALA,N
686143,KOTTAYAM,KERALA,N
686605,KOTTAYAM,KERALA,N
686612,KOTTAYAM,KERALA,N
686605,KOTTAYAM,KERALA,N
686142,KOTTAYAM,KERALA,N
686141,KOTTAYAM,KERALA,N
686142,KOTTAYAM,KERALA,N
686636,KOTTAYAM,KERALA,N
686635,KOTTAYAM,KERALA,N
686596,KOTTAYAM,KERALA,N
686587,KOTTAYAM,KERALA,N
686144,KOTTAYAM,KERALA,N
686638,KOTTAYAM,KERALA,N
686632,KOTTAYAM,KERALA,N
673525,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673527,KOZHIKODE,KERALA,N
673528,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673618,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673526,KOZHIKODE,KERALA,N
673315,KOZHIKODE,KERALA,N
673306,KOZHIKODE,KERALA,N
673304,KOZHIKODE,KERALA,N
673528,KOZHIKODE,KERALA,N
673528,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673527,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673529,KOZHIKODE,KERALA,N
673306,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673523,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673615,KOZHIKODE,KERALA,N
673615,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673304,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673529,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673526,KOZHIKODE,KERALA,N
673307,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673522,KOZHIKODE,KERALA,N
673621,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673315,KOZHIKODE,KERALA,N
673315,KOZHIKODE,KERALA,N
673307,KOZHIKODE,KERALA,N
673315,KOZHIKODE,KERALA,N
673532,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673305,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673327,KOZHIKODE,KERALA,N
673508,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673527,KOZHIKODE,KERALA,N
673522,KOZHIKODE,KERALA,N
673306,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673321,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673307,KOZHIKODE,KERALA,N
673307,KOZHIKODE,KERALA,N
673325,KOZHIKODE,KERALA,N
673528,KOZHIKODE,KERALA,N
673523,KOZHIKODE,KERALA,N
673508,KOZHIKODE,KERALA,N
673524,KOZHIKODE,KERALA,N
673326,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673624,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673508,KOZHIKODE,KERALA,N
673508,KOZHIKODE,KERALA,N
673522,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673523,KOZHIKODE,KERALA,N
673525,KOZHIKODE,KERALA,N
673528,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673528,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673522,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673317,KOZHIKODE,KERALA,N
673526,KOZHIKODE,KERALA,N
673612,KOZHIKODE,KERALA,N
673304,KOZHIKODE,KERALA,N
673529,KOZHIKODE,KERALA,N
673318,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673323,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673620,KOZHIKODE,KERALA,N
673614,KOZHIKODE,KERALA,N
673623,KOZHIKODE,KERALA,N
673574,KOZHIKODE,KERALA,N
673315,KOZHIKODE,KERALA,N
673315,KOZHIKODE,KERALA,N
673639,KOZHIKODE,KERALA,N
673586,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673317,KOZHIKODE,KERALA,N
673028,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673015,KOZHIKODE,KERALA,N
673015,KOZHIKODE,KERALA,N
673018,KOZHIKODE,KERALA,N
673032,KOZHIKODE,KERALA,N
673001,KOZHIKODE,KERALA,N
673020,KOZHIKODE,KERALA,N
673020,KOZHIKODE,KERALA,N
673032,KOZHIKODE,KERALA,N
673001,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673001,KOZHIKODE,KERALA,N
673002,KOZHIKODE,KERALA,N
673301,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673601,KOZHIKODE,KERALA,N
673616,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673661,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673661,KOZHIKODE,KERALA,N
673655,KOZHIKODE,KERALA,N
673017,KOZHIKODE,KERALA,N
673017,KOZHIKODE,KERALA,N
673601,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673005,KOZHIKODE,KERALA,N
673005,KOZHIKODE,KERALA,N
673616,KOZHIKODE,KERALA,N
673303,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673303,KOZHIKODE,KERALA,N
673006,KOZHIKODE,KERALA,N
673585,KOZHIKODE,KERALA,N
673632,KOZHIKODE,KERALA,N
673631,KOZHIKODE,KERALA,N
673631,KOZHIKODE,KERALA,N
673016,KOZHIKODE,KERALA,N
673014,KOZHIKODE,KERALA,N
673570,KOZHIKODE,KERALA,N
673014,KOZHIKODE,KERALA,N
673616,KOZHIKODE,KERALA,N
673302,KOZHIKODE,KERALA,N
673586,KOZHIKODE,KERALA,N
673604,KOZHIKODE,KERALA,N
673611,KOZHIKODE,KERALA,N
673619,KOZHIKODE,KERALA,N
673003,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673616,KOZHIKODE,KERALA,N
673003,KOZHIKODE,KERALA,N
673661,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673632,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673010,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673643,KOZHIKODE,KERALA,N
673010,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673661,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673611,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673655,KOZHIKODE,KERALA,N
673007,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
